Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,457,640,428,670,600,640,360,761,685,731,308,640,702,640,480,975,565,975,480,1066,565,1066,514,1188,548,1188,822,1
1,426,609,428,640,600,609,360,731,685,700,325,609,702,609,480,944,565,914,480,1005,582,1097,514,1188,548,1188,792,1
2,396,548,428,579,600,579,360,700,685,640,342,579,668,579,462,914,565,883,497,1158,582,1036,514,1158,548,1188,731,1
3,335,518,428,548,600,518,377,640,668,640,360,609,668,579,462,822,565,822,462,944,565,975,480,1158,548,1158,700,1
4,304,487,428,487,600,487,377,609,651,609,394,609,634,579,462,792,565,792,462,975,565,975,480,1127,565,1127,640,0
5,243,426,411,487,600,487,394,609,634,609,377,640,651,609,480,761,565,761,462,944,565,975,480,1097,565,1097,640,0
6,213,396,411,457,600,457,394,579,634,579,360,640,651,609,480,731,565,731,480,914,565,1005,480,1066,565,1005,609,0
7,213,396,411,426,600,426,394,548,634,548,325,609,685,579,480,731,565,731,480,944,565,944,480,1066,548,1097,579,0
8,182,365,411,396,600,396,360,518,651,518,274,548,737,518,480,700,565,700,548,914,480,883,548,1066,480,1066,548,0
9,182,365,411,396,600,396,360,518,651,487,274,487,737,457,480,700,565,700,480,883,548,883,480,1036,548,1036,548,0
10,182,365,411,396,600,365,360,487,651,487,308,457,685,457,480,700,565,700,480,883,548,883,497,1066,548,1066,548,0
11,182,365,411,396,600,365,394,518,651,457,342,487,634,487,480,700,565,700,480,883,548,883,480,1036,548,1036,548,0
12,182,365,411,396,617,396,394,518,617,579,377,548,600,579,480,731,565,731,480,761,548,822,497,1066,548,1066,579,0
13,182,365,394,426,600,396,394,548,617,579,377,609,617,579,462,700,548,700,480,822,548,822,497,1066,548,1036,548,0
14,213,396,394,426,600,426,394,548,617,548,342,609,651,609,462,731,565,731,480,792,565,761,497,1066,548,1066,579,0
15,243,426,411,457,600,426,377,548,634,548,308,609,702,579,480,761,565,761,480,975,565,1005,497,1097,565,1097,609,0
16,274,457,411,487,582,457,360,579,651,579,274,579,737,548,480,731,565,731,480,914,565,944,480,1097,565,1097,609,0
17,304,487,411,487,582,487,360,579,668,579,257,548,737,518,480,761,565,761,462,944,565,914,480,1127,565,1127,640,0
18,365,548,411,548,582,518,342,609,685,609,274,548,737,518,480,792,565,792,462,975,565,975,480,1158,565,1158,670,0
19,396,579,411,579,582,579,325,640,685,640,291,548,702,518,480,853,565,822,480,1005,582,1005,480,1158,565,1158,700,1
20,426,609,411,579,428,609,,670,325,670,291,548,308,548,462,883,565,883,462,1005,582,1005,480,1158,565,1158,761,1
21,426,609,411,609,600,609,325,700,702,670,325,579,668,548,462,914,548,914,480,1158,582,1127,480,1188,565,1066,761,1
22,396,579,411,609,582,579,342,670,685,670,342,548,668,548,480,883,548,883,497,1158,565,1127,497,1188,582,1188,731,1
23,365,548,428,548,582,548,360,640,668,640,342,579,651,548,462,853,565,822,480,1005,565,1005,480,1158,565,1158,700,1
24,335,487,428,518,582,518,360,609,651,609,360,609,651,548,462,822,565,792,462,944,565,944,480,1158,565,1158,670,1
25,274,457,411,487,600,487,377,579,617,609,360,609,651,579,462,761,548,761,462,944,565,944,480,1127,565,1127,640,0
26,243,426,394,487,600,457,377,609,634,609,360,670,634,609,480,731,548,700,462,914,565,914,480,1097,565,1097,609,0
27,213,396,394,457,600,426,394,579,617,579,360,640,651,609,480,700,565,700,462,914,565,914,480,1066,565,1066,579,0
28,182,365,394,426,582,396,377,548,617,548,308,609,685,579,480,700,565,700,462,914,565,883,462,1036,565,1036,548,0
29,182,365,411,396,582,396,360,518,651,518,274,548,720,518,480,700,565,670,462,944,565,883,462,1036,565,1036,548,0
30,182,365,411,396,582,396,360,518,651,487,257,487,720,457,462,700,548,700,462,944,565,914,462,1036,548,1005,548,0
31,182,365,411,396,582,365,342,487,651,487,274,426,702,426,480,700,565,700,462,914,565,914,462,1005,548,1005,548,0
