Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,640,822,411,853,582,853,342,1005,634,1005,325,1066,651,1066,445,1188,514,1188,445,1340,531,1188,480,1371,531,1371,1036,1
1,640,822,394,883,582,853,360,1066,617,1036,342,1127,634,1097,445,1249,514,1249,445,1340,531,1188,462,1371,514,1371,1066,1
2,640,822,394,853,582,853,377,1005,617,1066,342,1097,617,1066,445,1097,514,1097,445,1219,531,1188,462,1371,531,1401,975,1
3,640,792,394,822,582,822,377,944,617,1005,342,1005,634,1036,445,1127,514,1158,445,1158,531,1188,462,1340,514,1371,1005,1
4,609,761,411,792,582,792,360,914,617,914,291,975,668,1005,445,1036,531,1036,445,1219,531,1219,462,1371,531,1371,914,1
5,579,731,411,761,582,761,342,883,634,853,257,883,702,944,445,1005,531,1005,445,1188,548,1188,462,1340,548,1371,883,1
6,548,700,394,731,582,700,308,853,651,822,222,853,737,883,445,975,531,944,445,1127,548,1127,462,1310,548,1310,853,0
7,548,731,394,731,582,700,325,792,685,792,257,792,771,853,445,914,531,914,445,1097,548,1097,445,1310,548,1310,822,0
8,548,700,411,700,565,700,325,792,325,792,291,822,291,822,445,883,531,883,445,1066,548,1036,445,1249,548,1249,792,0
9,518,700,565,670,411,700,668,761,325,822,702,853,308,883,531,853,531,853,428,1036,428,1036,428,1219,548,1219,761,0
10,548,700,394,731,582,700,360,853,617,792,342,944,668,914,462,883,531,883,445,1036,548,1036,428,1219,548,1188,792,0
11,548,731,394,731,582,700,377,883,617,853,360,944,634,944,445,883,531,883,445,1005,565,975,428,1188,548,1188,792,0
12,579,731,411,731,582,700,394,822,600,822,360,944,600,914,462,853,531,883,445,1005,565,1036,428,1188,548,1188,792,0
13,579,731,394,731,582,700,377,822,617,853,325,883,634,914,462,883,531,883,445,1036,565,1066,428,1219,548,1219,792,0
14,579,731,411,700,582,700,342,822,634,792,274,853,685,853,462,914,531,914,445,1066,565,1066,428,1249,548,1249,822,0
15,579,731,582,731,394,731,651,792,325,822,720,853,240,853,462,914,548,944,445,1097,548,1097,445,1249,548,1310,822,0
16,640,731,565,731,394,761,668,792,325,822,771,853,257,822,548,914,531,944,445,1127,548,1127,445,1280,548,1310,853,0
17,640,761,582,761,411,761,668,822,325,853,754,883,308,883,531,944,445,1005,548,1158,445,1158,548,1340,445,1340,853,0
18,670,792,565,761,411,792,634,822,342,883,720,914,720,914,445,1005,531,975,445,1188,548,1188,462,1371,548,1371,883,1
19,640,822,411,822,582,822,377,914,634,914,377,1005,685,1005,462,1036,548,1036,445,1219,548,1188,462,1371,531,1371,944,1
20,670,853,411,853,582,853,411,1005,617,1005,377,1097,651,1066,462,1066,548,1066,445,1188,548,1219,531,1401,462,1371,975,1
21,670,853,411,883,582,883,394,1036,617,1066,342,1127,634,1127,445,1097,531,1066,445,1280,548,1249,480,1401,531,1401,975,1
22,670,853,411,853,600,853,377,975,617,1005,325,1066,651,1097,445,1066,548,1066,445,1249,565,1249,462,1371,548,1401,975,1
23,640,822,411,822,600,822,360,944,634,944,291,1005,685,1036,445,1066,548,1036,445,1219,565,1188,462,1371,548,1371,944,1
24,609,792,411,792,582,761,342,883,634,883,257,914,720,944,462,1036,548,1036,462,1188,548,1188,462,1371,548,1371,914,1
25,609,761,428,731,600,761,342,853,668,853,240,853,754,883,462,1005,548,975,462,1158,548,1158,462,1340,548,1340,883,1
26,579,761,394,761,600,731,325,822,702,822,257,822,788,853,462,944,548,944,462,1127,548,1127,462,1310,565,1310,853,0
27,579,731,394,731,582,731,342,822,685,792,274,822,771,822,462,914,548,914,462,1097,565,1097,480,1280,582,1280,822,0
28,579,731,411,700,565,700,360,822,668,761,308,853,720,853,462,914,548,883,462,1066,565,1066,480,1249,582,1249,822,0
29,548,731,428,700,582,700,377,761,634,761,325,883,685,883,480,883,548,883,462,1066,565,1066,480,1249,582,1249,792,0
30,579,731,428,731,600,700,394,822,634,822,342,914,651,944,480,853,548,853,480,1036,565,1036,480,1249,582,1249,792,0
31,609,700,565,700,411,731,394,822,394,853,342,883,360,914,480,822,565,822,480,1036,565,1036,480,1249,582,1249,761,0
32,579,731,411,731,600,700,394,822,634,822,342,883,651,883,480,883,565,883,480,1036,582,1066,497,1249,582,1249,792,0
