Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,304,518,377,579,600,579,342,731,651,700,308,761,651,761,428,914,548,914,445,1097,548,1219,462,1249,531,1249,731,1
1,335,518,377,579,600,579,342,761,651,731,308,792,651,761,428,944,548,944,462,1249,548,1249,462,1249,531,1249,761,1
2,335,518,377,609,600,609,342,761,651,792,308,792,651,792,445,944,548,944,480,1280,548,1249,462,1249,548,1401,761,1
3,335,518,360,609,600,609,342,761,651,761,308,822,668,792,445,1005,548,975,480,1280,548,1249,462,1249,548,1432,792,1
4,335,518,360,579,600,579,342,761,651,731,291,822,685,792,445,944,548,944,428,975,548,1249,480,1249,531,1280,792,1
5,304,487,360,579,600,579,325,731,651,700,257,792,702,731,428,944,548,944,462,1249,548,1249,462,1249,548,1280,761,1
6,274,457,360,518,600,518,325,700,651,670,240,761,702,700,428,914,531,914,462,1249,548,1249,462,1280,531,1280,731,1
7,213,426,360,487,600,487,308,640,651,640,222,700,805,670,428,822,531,792,428,1005,548,1036,462,1249,548,1249,670,0
8,182,396,360,457,600,457,308,609,651,609,205,640,737,609,428,822,531,792,445,1036,548,1036,445,1219,548,1219,640,0
9,182,365,360,426,600,426,308,579,668,579,188,609,754,548,428,792,548,792,428,1005,548,1036,445,1219,548,1219,609,0
10,152,335,360,426,582,396,308,548,668,548,188,548,754,518,445,792,548,761,428,1036,548,1005,445,1188,548,1219,609,0
11,121,335,377,396,600,396,308,548,668,548,205,518,754,487,428,761,548,731,428,1127,548,1005,445,1158,548,1188,579,0
12,121,335,377,396,582,396,308,548,651,518,222,518,737,487,428,761,548,761,428,1127,548,1005,445,1158,548,1188,579,0
13,121,335,377,396,600,396,308,548,651,548,240,518,720,487,428,761,548,761,428,1127,548,975,531,1219,445,1158,579,0
14,152,335,377,396,600,396,325,548,634,548,257,518,702,518,428,792,548,761,428,1127,565,1066,445,1188,548,1188,609,0
15,152,365,377,426,582,426,325,579,634,579,274,548,702,548,428,792,548,792,428,1188,565,1127,445,1188,548,1219,609,0
16,182,396,360,457,600,457,342,609,617,609,291,579,685,579,428,853,548,853,445,1188,548,1188,445,1219,531,1249,640,0
17,213,426,377,487,600,487,360,640,617,640,308,640,668,609,428,822,548,853,428,1036,565,1158,445,1249,548,1249,670,0
18,243,457,377,518,600,518,308,700,651,670,325,700,651,670,445,883,548,883,411,944,565,1219,445,1249,548,1249,700,1
19,304,487,377,548,600,548,342,731,651,700,342,731,651,731,445,944,548,944,445,1219,548,1280,462,1249,531,1249,761,1
20,335,518,360,579,600,579,360,761,651,731,342,792,634,731,428,975,531,1005,445,1249,548,1249,462,1249,531,1249,792,1
21,335,518,360,609,600,579,360,761,634,761,325,822,651,792,428,914,548,914,445,1188,565,1188,514,1280,531,1280,761,1
22,304,518,360,579,600,579,342,731,634,761,308,822,668,761,445,883,531,883,428,1097,548,1188,462,1249,531,1249,731,1
23,274,487,360,548,600,548,342,700,634,700,291,792,685,731,445,853,548,853,428,1036,565,1066,462,1249,548,1280,700,1
24,243,426,360,518,600,518,325,670,651,670,257,731,702,700,445,883,548,853,445,1188,548,1066,462,1249,548,1249,700,1
25,213,396,360,487,600,487,308,640,634,609,240,670,720,640,428,853,548,822,445,1036,548,1036,445,1249,548,1219,670,0
26,182,396,360,457,600,457,308,609,651,579,205,640,737,579,445,792,548,792,445,1036,548,1036,445,1219,548,1219,640,0
27,152,365,377,426,600,426,308,579,651,579,205,579,737,548,445,792,548,792,445,1188,548,1005,462,1188,548,1188,609,0
28,152,335,377,426,600,426,308,548,651,548,188,548,737,518,445,761,548,761,445,1005,548,1005,445,1158,548,1188,609,0
29,152,335,377,396,600,396,308,548,651,548,205,518,737,518,445,761,548,761,445,1005,548,1005,445,1158,548,1188,579,0
30,152,335,377,396,600,396,308,548,651,548,222,518,720,518,445,761,548,761,445,975,548,975,445,1158,548,1188,579,0
31,152,365,377,426,600,426,325,579,634,548,240,518,720,518,445,792,531,761,445,1005,548,1005,445,1158,548,1188,609,0
32,152,365,377,426,582,426,342,579,634,579,257,548,702,548,445,792,548,792,445,975,548,1005,462,1188,548,1219,609,0
33,182,396,377,457,600,457,342,609,617,609,274,579,685,579,428,792,548,761,445,1005,548,975,462,1219,548,1219,640,0
34,213,426,377,487,600,487,360,640,617,640,308,609,668,609,428,822,548,853,445,1036,531,944,445,1219,548,1219,670,0
35,274,457,377,518,617,548,325,670,651,670,325,670,668,670,445,853,548,883,428,1036,548,1005,445,1249,565,1280,700,1
36,304,518,377,579,600,579,325,731,651,700,342,731,702,700,428,944,548,944,445,1249,548,1036,445,1249,531,1249,761,1
37,335,518,377,609,600,609,360,761,651,731,360,761,651,731,445,944,548,944,445,1219,548,1219,462,1249,531,1249,761,1
38,365,548,377,609,600,609,360,792,651,792,342,822,651,792,445,975,548,944,445,1249,548,1219,462,1249,531,1280,792,1
39,335,518,377,609,600,609,360,792,651,761,342,853,651,792,445,944,531,944,445,1219,548,1219,462,1280,548,1280,792,1
40,335,518,377,579,600,579,360,731,651,731,308,822,668,761,445,914,548,914,445,1219,565,1097,480,1280,548,1280,731,1
41,274,457,360,548,600,548,342,700,634,700,274,792,685,700,445,883,548,883,445,1066,548,1066,462,1249,548,1280,700,1
42,243,426,360,487,600,487,325,670,634,640,257,731,702,640,445,853,548,822,445,1066,548,1036,445,1249,548,1249,670,0
43,213,396,360,487,600,487,308,640,651,609,222,670,737,609,445,822,548,822,445,1066,548,1036,445,1219,548,1249,640,0
44,182,365,360,457,582,426,308,609,651,579,205,609,737,548,445,792,548,792,445,1036,548,1005,428,1219,548,1219,609,0
45,152,365,377,426,582,426,291,579,651,548,188,579,737,518,445,792,548,761,428,1036,548,1005,445,1219,582,1188,609,0
